Tipe    , Baris Excel, Kode AHSP , Nama AHSP                                                                                                                                                               , Kategori, Kode Item, Uraian Item                                                    , Satuan, Koefisien, Duplikat dari Baris, Alasan
DUPLIKAT,        9764, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0001  , Mandor                                                         , OH    ,   0.281  ,                9758, Sama persis dengan baris 9758 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9765, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.38   ,                9759, Sama persis dengan baris 9759 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9766, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.38   ,                9759, Sama persis dengan baris 9759 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9767, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.38   ,                9759, Sama persis dengan baris 9759 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9768, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.549  ,                9759, Sama persis dengan baris 9759 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9770, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.844  ,                9759, Sama persis dengan baris 9759 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9778, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0005  , Pekerja                                                        , OH    ,   2.276  ,                9769, Sama persis dengan baris 9769 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9779, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0005  , Pekerja                                                        , OH    ,   2.276  ,                9769, Sama persis dengan baris 9769 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9780, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0005  , Pekerja                                                        , OH    ,   2.276  ,                9769, Sama persis dengan baris 9769 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9781, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0005  , Pekerja                                                        , OH    ,   3.286  ,                9769, Sama persis dengan baris 9769 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9782, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0008  , Tukang                                                         , OH    ,   3.801  ,                9777, Sama persis dengan baris 9777 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9783, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0008  , Tukang                                                         , OH    ,   3.801  ,                9777, Sama persis dengan baris 9777 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9784, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0008  , Tukang                                                         , OH    ,   3.801  ,                9777, Sama persis dengan baris 9777 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9785, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0005  , Pekerja                                                        , OH    ,   5.055  ,                9769, Sama persis dengan baris 9769 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9786, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0008  , Tukang                                                         , OH    ,   5.487  ,                9777, Sama persis dengan baris 9777 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9787, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0008  , Tukang                                                         , OH    ,   8.441  ,                9777, Sama persis dengan baris 9777 (kategori + kode_item + uraian + satuan)
DUPLIKAT,       10217, 5.6.4.1   , "Pemasangan  1  Unit  Jockey  Fire  Pump  Vertical  Multi  Stage,  25 USGPM"                                                                                            , TK      , TK-0005  , Pekerja                                                        , OH    ,  30.476  ,               10215, Sama persis dengan baris 10215 (kategori + kode_item + uraian + satuan)
DUPLIKAT,       10403, 6.1.4.2   , Pemasangan 1 Set Priming Tank 800 liter                                                                                                                                 , TK      , TK-0001  , Mandor                                                         , OH    ,   0.037  ,               10402, Sama persis dengan baris 10402 (kategori + kode_item + uraian + satuan)
DUPLIKAT,       10404, 6.1.4.2   , Pemasangan 1 Set Priming Tank 800 liter                                                                                                                                 , TK      , TK-0001  , Mandor                                                         , OH    ,   0.037  ,               10402, Sama persis dengan baris 10402 (kategori + kode_item + uraian + satuan)
DUPLIKAT,       10405, 6.1.4.2   , Pemasangan 1 Set Priming Tank 800 liter                                                                                                                                 , TK      , TK-0001  , Mandor                                                         , OH    ,   0.042  ,               10402, Sama persis dengan baris 10402 (kategori + kode_item + uraian + satuan)
DUPLIKAT,       10407, 6.1.4.2   , Pemasangan 1 Set Priming Tank 800 liter                                                                                                                                 , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.122  ,               10406, Sama persis dengan baris 10406 (kategori + kode_item + uraian + satuan)
DUPLIKAT,       10408, 6.1.4.2   , Pemasangan 1 Set Priming Tank 800 liter                                                                                                                                 , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.122  ,               10406, Sama persis dengan baris 10406 (kategori + kode_item + uraian + satuan)
DUPLIKAT,       10409, 6.1.4.2   , Pemasangan 1 Set Priming Tank 800 liter                                                                                                                                 , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.139  ,               10406, Sama persis dengan baris 10406 (kategori + kode_item + uraian + satuan)
DUPLIKAT,       10411, 6.1.4.2   , Pemasangan 1 Set Priming Tank 800 liter                                                                                                                                 , TK      , TK-0005  , Pekerja                                                        , OH    ,   0.729  ,               10410, Sama persis dengan baris 10410 (kategori + kode_item + uraian + satuan)
DUPLIKAT,       10412, 6.1.4.2   , Pemasangan 1 Set Priming Tank 800 liter                                                                                                                                 , TK      , TK-0005  , Pekerja                                                        , OH    ,   0.729  ,               10410, Sama persis dengan baris 10410 (kategori + kode_item + uraian + satuan)
DUPLIKAT,       10413, 6.1.4.2   , Pemasangan 1 Set Priming Tank 800 liter                                                                                                                                 , TK      , TK-0005  , Pekerja                                                        , OH    ,   0.833  ,               10410, Sama persis dengan baris 10410 (kategori + kode_item + uraian + satuan)
DUPLIKAT,       10419, 6.1.4.2   , Pemasangan 1 Set Priming Tank 800 liter                                                                                                                                 , TK      , TK-0008  , Tukang                                                         , OH    ,   1.218  ,               10418, Sama persis dengan baris 10418 (kategori + kode_item + uraian + satuan)
DUPLIKAT,       10420, 6.1.4.2   , Pemasangan 1 Set Priming Tank 800 liter                                                                                                                                 , TK      , TK-0008  , Tukang                                                         , OH    ,   1.218  ,               10418, Sama persis dengan baris 10418 (kategori + kode_item + uraian + satuan)
DUPLIKAT,       10421, 6.1.4.2   , Pemasangan 1 Set Priming Tank 800 liter                                                                                                                                 , TK      , TK-0008  , Tukang                                                         , OH    ,   1.392  ,               10418, Sama persis dengan baris 10418 (kategori + kode_item + uraian + satuan)
